category,name,sku,unit_label,case_label,price_single,price_case,cost_price_single,cost_price_case,shelf_life_months,can_split_sale,minimum_order_qty,is_active,stock_quantity,units_per_case,image
Filtered Tea Bag,T030503,T030503,500G/BAG,10 BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,10.0,products/T030503.png
Espresso Tea Bag 萃茶包,T030603,T030603,8G/50 TEA BAGS,500 TEA BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,500.0,products/T030603.png
Espresso Tea Bag 萃茶包,T030703,T030703,8G/50 TEA BAGS,500 TEA BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,500.0,products/T030703.png
Filtered Tea Bag,White Peach Espresso Four Seasons Springs Espresso Oolong Tea Bag 蜜桃青烏龍茶萃茶包,T030803,500G/BAG,10 BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,10.0,products/T030803.png
Machinery 機器,U010103,U010103,,,55.0,55.0,0,0,12,1,1,1,0,1.0,products/U010103.png
Machinery 機器,U010203,U010203,,,85.0,85.0,0,0,12,1,1,1,0,1.0,products/U010203.png
Machinery 機器,U010303,U010303,,,60.0,60.0,0,0,12,1,1,1,0,1.0,products/U010303.png
Machinery 機器,U010403,U010403,,,75.0,75.0,0,0,12,1,1,1,0,1.0,products/U010403.png
Machinery 機器,U010503,U010503,,,60.0,60.0,0,0,12,1,1,1,0,1.0,products/U010503.png
Machinery 機器,U010703,U010703,,,55.0,55.0,0,0,12,1,1,1,0,1.0,products/U010703.png
Machinery 機器,U010803,U010803,,,75.0,75.0,0,0,12,1,1,1,0,1.0,products/U010803.png
Machinery 機器,U010903,U010903,,,60.0,60.0,0,0,12,1,1,1,0,1.0,products/U010903.png
Machinery 機器,90mm 22oz Double Wall Paper Cup 中空厚纸杯 Shaker Machine,U011003,,,40.0,40.0,0,0,12,1,1,1,0,1.0,products/U011003.png
Machinery 機器,U011203,U011203,,,75.0,75.0,0,0,12,1,1,1,0,1.0,products/U011203.png
